,daycode,month,holidays,season,weather_type,load,temp,hr_weather_type,cdd,hdd
96,5,4,1,2,2,1.0839311791270552,74,1,9,0
97,6,4,1,2,2,1.1551423796503204,73,1,8,0
98,0,4,1,2,1,1.4121663876981605,74,1,9,0
99,1,4,1,2,1,1.259442993207175,75,1,10,0
100,2,4,1,2,2,0.951767435505696,65,2,0,0
101,3,4,1,2,2,1.044427777551111,73,1,8,0
102,4,4,1,2,1,1.3111383805127566,75,1,10,0
103,5,4,1,2,1,1.2136788675779258,75,1,10,0
104,6,4,1,2,1,1.351047988583634,77,1,12,0
105,0,4,1,2,1,1.497794729420527,77,1,12,0
106,1,4,1,2,1,1.3881837595576496,76,1,11,0
107,2,4,1,2,1,1.1628899975779994,74,1,9,0
108,3,4,1,2,1,1.4406618662805315,78,1,13,0
109,4,4,1,2,1,1.6651879321455854,79,1,14,0
110,5,4,1,2,1,1.5853745845080287,79,1,14,0
111,6,4,1,2,1,1.2361491423663529,68,2,3,0
112,0,4,1,2,2,1.1345146658193137,71,1,6,0
113,1,4,1,2,2,1.1834572850666298,72,1,7,0
114,2,4,1,2,1,1.2990818133258706,77,1,12,0
115,3,4,1,2,1,1.8264896498443282,90,5,25,0
116,4,4,1,2,2,1.2441546537500692,74,1,9,0
117,5,4,1,2,1,1.730994210280397,81,4,16,0
118,6,4,1,2,1,1.4879517769735464,81,4,16,0
119,0,4,1,2,2,1.2112609530887295,75,1,10,0
120,1,5,1,2,2,1.4363931807082762,78,1,13,0
121,2,5,1,2,1,1.5511392858241762,78,1,13,0
122,3,5,1,2,1,1.5953545732636638,82,4,17,0
123,4,5,1,2,2,0.9466779243816584,74,1,9,0
124,5,5,1,2,2,1.0669840788902003,79,1,14,0
125,6,5,1,2,1,1.4259280808611037,78,1,13,0
126,0,5,1,2,1,1.6490376073941806,77,1,12,0
127,1,5,1,2,1,1.4382128764920548,76,1,11,0
128,2,5,1,2,1,1.5337205928650943,78,1,13,0
129,3,5,1,2,1,1.4816712334890412,78,1,13,0
130,4,5,1,2,1,1.6249961682837986,80,1,15,0
131,5,5,1,2,1,1.5515274656969118,83,4,18,0
132,6,5,1,2,1,1.7177991803904367,83,4,18,0
133,0,5,1,2,1,1.835118065176551,81,4,16,0
134,1,5,1,2,1,1.76798037692314,80,1,15,0
135,2,5,1,2,1,1.7188342432693566,78,1,13,0
136,3,5,1,2,1,1.5891287779335692,80,1,15,0
137,4,5,1,2,1,1.884287735169976,82,4,17,0
138,5,5,1,2,1,1.8440407275824056,82,4,17,0
139,6,5,1,2,1,1.7671357218664494,83,4,18,0
140,0,5,1,2,1,1.7019923987464023,74,1,9,0
141,1,5,1,2,1,1.3617477677456022,75,1,10,0
142,2,5,1,2,1,1.769074696099323,82,4,17,0
143,3,5,1,2,1,1.3479035398830046,83,4,18,0
144,4,5,1,2,1,1.7073569879735564,82,4,17,0
145,5,5,1,2,1,1.7106334501691354,82,4,17,0
146,6,5,1,2,1,2.0313089140834903,84,4,19,0
147,0,5,1,2,1,1.9139434412833292,84,4,19,0
148,1,5,0,2,1,1.5643829787069754,80,1,15,0
149,2,5,1,2,1,1.8991960146004307,81,4,16,0
150,3,5,1,2,1,1.8157700998308688,82,4,17,0
151,4,6,1,1,1,1.7441418231144772,82,4,17,0
152,5,6,1,1,1,1.5641400264787149,82,4,17,0
153,6,6,1,1,1,1.82281482517795,84,4,19,0
154,0,6,1,1,1,1.4492728252543507,72,1,7,0
155,1,6,1,1,1,1.6317388274856837,81,4,16,0
156,2,6,1,1,1,1.8892090349117885,87,5,22,0
157,3,6,1,1,1,2.078714170730451,89,5,24,0
158,4,6,1,1,1,1.980262946544848,86,5,21,0
159,5,6,1,1,1,1.6590948570969892,81,4,16,0
160,6,6,1,1,1,1.8065760321395472,83,4,18,0
161,0,6,1,1,1,2.2754952048540225,87,5,22,0
162,1,6,1,1,1,2.1359218491807552,86,5,21,0
163,2,6,1,1,1,2.15693515824422,85,5,20,0
164,3,6,1,1,1,2.211172193557708,87,5,22,0
165,4,6,1,1,1,2.2610347189851576,88,5,23,0
166,5,6,1,1,1,2.2258570679373846,88,5,23,0
167,6,6,1,1,1,2.1061806663541995,88,5,23,0
168,0,6,1,1,1,2.29358890459498,88,5,23,0
169,1,6,1,1,1,2.3996751065933544,89,5,24,0
170,2,6,1,1,1,2.20207254040306,89,5,24,0
171,3,6,1,1,1,1.7065637859899845,80,1,15,0
172,4,6,1,1,1,1.8099567838671935,87,5,22,0
173,5,6,1,1,1,2.222885060479748,89,5,24,0
174,6,6,1,1,1,1.6603227246141503,85,5,20,0
175,0,6,1,1,1,2.027808257975013,86,5,21,0
176,1,6,1,1,1,1.8060633056030997,82,4,17,0
177,2,6,1,1,1,1.6241685487747444,82,4,17,0
178,3,6,1,1,1,1.9876930526990824,85,5,20,0
179,4,6,1,1,1,1.9930620587103955,87,5,22,0
180,5,6,1,1,1,2.136922694837033,87,5,22,0
181,6,7,1,1,1,2.098557848260381,88,5,23,0
182,0,7,1,1,1,2.2472539845688533,88,5,23,0
183,1,7,1,1,1,2.2249066983203023,89,5,24,0
184,2,7,0,1,1,2.3544444751707507,89,5,24,0
185,3,7,1,1,1,2.3810417847085388,90,5,25,0
186,4,7,1,1,1,2.2124531772145266,90,5,25,0
187,5,7,1,1,1,2.103594273508641,90,5,25,0
188,6,7,1,1,1,2.291398761332732,91,5,26,0
189,0,7,1,1,1,2.3402556101243235,91,5,26,0
190,1,7,1,1,1,1.71249266080479,85,5,20,0
191,2,7,1,1,1,1.9474092664414413,89,5,24,0
192,3,7,1,1,1,2.1050503728869185,90,5,25,0
193,4,7,1,1,1,2.1688833330571797,91,5,26,0
194,5,7,1,1,1,2.0714975668035853,88,5,23,0
195,6,7,1,1,1,1.4145424988676396,78,1,13,0
196,0,7,1,1,1,2.2388663258209993,87,5,22,0
197,1,7,1,1,1,1.8678055697511495,88,5,23,0
198,2,7,1,1,1,2.0319923402611693,89,5,24,0
199,3,7,1,1,1,2.1099139290822517,91,5,26,0
200,4,7,1,1,1,2.2641021140089133,90,5,25,0
201,5,7,1,1,1,2.182576110684625,88,5,23,0
202,6,7,1,1,1,1.9695133483864733,89,5,24,0
203,0,7,1,1,1,2.30076684393313,90,5,25,0
204,1,7,1,1,1,2.3418852783083755,91,5,26,0
205,2,7,1,1,1,2.25406489262763,90,5,25,0
206,3,7,1,1,1,2.2184094013626483,91,5,26,0
207,4,7,1,1,1,2.3182862909050743,93,5,28,0
208,5,7,1,1,1,2.4688399616441874,94,5,29,0
